Title,Maximum Resolution (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Cross-platform (EN),ID,Chris' Comments Box
Get Packed,1920x1080,60,SDR,None,73182869b2a644bdbef46984b96e1721rcp1,Pixel Count
Gods Will Fall,3840x2160,60,SDR,None,f001c122cb70445d8a247d5b6f6334cbrcp1,Pixel Count
GRID,3072x1728,60,HDR,None,ca805d3d37404654a91d2ea62fad7bd4rcp1,Pixel Count
Gunsport,Pixel Art/Retro,60,SDR,None,16330bd770134d85b5bef3cc6b1407ffrcp1,
GYLT,3840x2160,60,HDR,None,18a3cc2bb111419c8ac873086d04dfaarcp1,Pixel Count
Hello Neighbor,1472x828,60,SDR,None,9dc548a191914b419cc80802ca64788frcp1,Not compatible with 4K mode | Pixel Count
Hello Neighbor: Hide and Seek,1472x828,60,SDR,None,cf784a0f4c554ce68a2880cb461bd903rcp1,Not compatible with 4K mode | Pixel Count
Hellpoint,1920x1080,60,SDR,None,c87989ee2285400c8ac96b8e52f57991rcp1,Pixel Count
HITMAN - The Complete First Season,2560x1440,60,HDR,None,990ec302c2cd4ba7817cedcf633ab20frcp1,Pixel Count
HITMAN 2,2560x1440,60,HDR,None,990ec302c2cd4ba7817cedcf633ab20frcp1,Pixel Count
HITMAN 3,2560x1440,60,HDR,None,990ec302c2cd4ba7817cedcf633ab20frcp1,Pixel Count
Hotline Miami,Pixel Art/Retro,60,SDR,None,5f54e869de4441f8998e80d2c54fa74brcp1,
Hotline Miami 2: Wrong Number,Pixel Art/Retro,60,SDR,None,68add0d67fe3491f94cb439664b1ffc7rcp1,
Human: Fall Flat,1280x720,60,SDR,None,16d98de80a3340ffa4129953ae4e3206rcp1,Pixel Count
HUMANKIND - Digital Deluxe Edition,3840x2160,30,,None,3f40802097224fa1aaa0dcc4555828b7rcp1,Pixel Count
Hundred Days - Winemaking Simulator,3840x2160,30,SDR,None,0b14eb3560f94ed69375f6ca5b7491fercp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
IMMORTALS FENYX RISING,2880x1620,30,HDR,None,161f276db10947a199cd0260ed4dc248rcp1,Pixel Count | Specs confirmed by devs/pubs | Performance/Quality toggle | 60FPS in 1080p mode
Into the Breach,Pixel Art/Retro,60,HDR,None,1a871cfe8a7d4ebc8592c2ad4bc07150rcp1,
It Came From Space And Ate Our Brains,3840x2160,60,SDR,None,004b82924b0441c5a2ba6488cca19b90rcp1,Pixel Count
Jotun: Valhalla Edition,1920x1080,60,SDR,None,c727a9083ce649e5b1cc6999c4fa2e5frcp1,Pixel Count | Specs confirmed by devs/pubs | Not compatible with 4K mode
Journey to the Savage Planet,3840x2160,60,SDR,None,22c6d03e67474644a139de4f04a08c11rcp1,Pixel Count
Judgment,1920x1080,60,SDR,None,3b8cebf1104f4705b8e8d1994429ec4crcp1,Pixel Count
Just Dance 2020,1920x1080,60,SDR,None,4b7f307c37364d659118bf7d435733c7rcp1,Pixel Count | Specs confirmed by devs/pubs
Just Dance 2021,,60,HDR,None,b87ca389d6454546af28dff82898406arcp1,
Just Shapes & Beats,3840x2160,60,HDR,None,6b43cecd79734ba28cef5894985c65f1rcp1,Pixel Count | Specs confirmed by devs/pubs
Kaze and the Wild Masks,Pixel Art/Retro,60,,None,46f42ce202a6460d897fb43f43e20846rcp1,
Kemono Heroes,Pixel Art/Retro,,,None,81733d32e2db41f9a58b97aa80c0b2fcrcp1,
Killer Queen Black,Pixel Art/Retro,60,SDR,"PC,Xbox,Nintendo Switch",3f30ebc3799945fea323f8a663c35501rcp1,Not compatible with 4K mode
Kine,3840x2160,60,SDR,None,da94f3aa88b24eb6ae6fdff798f73355rcp1,Pixel Count | Specs confirmed by devs/pubs
Kona,2560x1440,60,HDR,None,f5f9708a422a44cc876c240cfa07221drcp1,Pixel Count
Lara Croft and the Guardian of Light,3840x2160,60,HDR,None,29b3d5d6788f444c8cd59aa0a49d1bd1rcp1,No HDR settings | Pixel Count
Lara Croft and the Temple of Osiris,2560x1440,60,HDR,None,6d0d865669774338b3ce888a84da6cdercp1,Pixel Count | No HDR settings
Legend of Keepers: Career of a Dungeon Manager,Pixel Art/Retro,60,HDR,None,ba593716983f436ea49ae09a531d65b5rcp1,No HDR settings
Life is Strange: True Colors,,,,None,00c1858d808f469297b1200c8383f5f5rcp1,
Little Big Workshop,3840x2160,60,SDR,None,e4e8f5e5bc744270a644c554ba3f2962rcp1,Pixel Count
Little Nightmares,3840x2160,60,SDR,None,3aed855f10b34f618e5f6c6f5467bcf9rcp1,Pixel Count
Little Nightmares 2,2880x1620,60,SDR,None,0175bc876f55414ca207b2ea6691cfb2rcp1,Pixel Count
Lost Words: Beyond the Page,,60,HDR,None,d334bea27ee64ef5a3a9bb14b1d6a88ercp1,
Madden 21,3840x2160,60,HDR,None,0e6c703afde840148204847447b9c21drcp1,Pixel Count | No HDR settings
Marvel's Avengers,3840x2160,30,HDR,None,232ff8abc7f74421a477e9e09dbf487drcp1,Pixel Count | 60FPS in 1080p mode
Metro 2033 Redux,2560x1440,60,SDR,None,9b3ea6519cac48d68ca821f07b1a6a3drcp1,Pixel Count
Metro Exodus,3840x2160,30,HDR,None,879d82512f5441829250ead1aa678a70rcp1,Pixel Count | 60FPS in 1080p mode
Metro Last Light Redux,2560x1440,60,HDR,None,b65c1c4dcdf24446bcecda190c6a2fe7rcp1,Pixel Count | No HDR settings
Monopoly,2560x1440,60,SDR,None,10b8a9cc8ec746f29afc1fc3c3ded28brcp1,Pixel Count
Monster Boy and the Cursed Kingdom,,60,SDR,None,ef14fb2f692c4b42b4b092d3e7864cd8rcp1,
Monster Energy Supercross - The Official Videogame 3,3840x2160,30,HDR,None,d50e1c1b61224bceb65da9406f3f4e8frcp1,Pixel Count | 60FPS in 1080p mode
Monster Energy Supercross - The Official Videogame 4,2880x1620,30,HDR,None,a62130f4b41b4878a00f8ec444df6b01rcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
Monster Jam Steel Titans,3840x2160,30,SDR,None,e7506ec75c8046dfa7879fe604505ca7rcp1,Pixel Count
Monster Jam Steel Titans 2,3840x2160,30,SDR,None,3fa9461d9fbd4fb3855039d9b64ca736rcp1,Pixel Count | 30FPS in 1080p mode
Mortal Kombat 11,2560x1440,60,HDR,None,7bfbcba307114ab88ae4231da2ec85d3rcp1,Pixel Count
MotoGP 20,2560x1440,30,HDR,None,e465c4086aff4884990933d9f119f5f5rcp1,Pixel Count | 60FPS in 1080p mode
Murder by Numbers,1920x1080,60,SDR,None,ee055d3ed7d3485d81ee329ec554c207rcp1,Pixel Count | Not compatible with 4K mode
Nanotale - Typing Chronicles,3840x2160,30,SDR,None,4108770e33414848ae849cb6ad14e685rcp1,Pixel Count
NBA 2K20,3840x2160,30,HDR,None,2afad3696b394f669b49e4c0b6016958rcp1,Pixel Count | 60FPS in 1080p mode
NBA 2K21,3840x2160,30,HDR,None,b0a2ab7cdc194582bc4d111c07c2e30drcp1,Pixel Count | 60FPS in 1080p mode
OCTOPATH TRAVELER,Pixel Art/Retro,60,SDR,None,48ead86182b14fe0afcc5f2927dbed51rcp1,
Olympic Games Tokyo 2020,,,,None,b5b149105b1e4a38b1c43484d2d4dc22rcp1,
One Hand Clapping,3840x2160,60,HDR,None,76309b9f2f294b07b410e8b6aa879273rcp1,Pixel Count
Orcs Must Die 3,3840x2160,60,HDR,None,c1928530515748da9f55afc7243fd3e1rcp1,Pixel Count | Specs confirmed by devs/pubs
Outcasters,,60,HDR,None,8533fb04b9174c3f8dce10a2fec7b062rcp1,No HDR settings
Outriders,3840x2160,30,HDR,None,ad1e34961f2148568d215a8101df7693rcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
Outward,1920x1080,60,SDR,None,8185df0ce9d74d61aab58a12d4bf21a0rcp1,Pixel Count | Not compatible with 4K mode
PAC-MAN Mega Tunnel Battle,3840x2160,60,SDR,None,9affbc684aeb422086bfb5d0c8bf2f55rcp1,Pixel Count
Panzer Dragoon: Remake,3840x2160,60,HDR,None,ffda0b7e397243f8956f92f89b6902c4rcp1,Pixel Count | Specs confirmed by devs/pubs
PGA TOUR 2K21,3840x2160,30,SDR,None,6a2ac2fc8e684c41b5c14981dcb454fdrcp1,Pixel Count | 30FPS in 1080p mode | Performance/Quality toggle
Phoenix Point,3840x2160,30,HDR,None,18ea8c5d2f7e4f40ad783a512da8ef91rcp1,Pixel Count
PHOGS!,3840x2160,60,SDR,None,05b9db9b9b5b489995568afd930a9db3rcp1,Pixel Count | Specs confirmed by devs/pubs
Pikuniku,3840x2160,30,SDR,None,c02a86f966b044569ee03f80fbc86035rcp1,Pixel Count | 30FPS in 1080p mode
PixelJunk Raiders,2880x1620,60,SDR,None,5903b3b139194aefa713f216669ee334rcp1,Pixel Count
PLAYERUNKNOWN'S BATTLEGROUNDS,2560x1440,60,HDR,"PC,PlayStation,Xbox",a4c5eb3f4e614b7fadbba64cba68f849rcp1,Pixel Count | Specs confirmed by devs/pubs
Power Rangers: Battle for the Grid,1920x1080,60,SDR,"PC,PlayStation,Xbox,Nintendo Switch",bbb1a143aa3449a5a1f236a05c305c9frcp1,Pixel Count | Not compatible with 4K mode
RAGE 2,1920x1080,60,SDR,None,8615c857d7d54efebd94fe17e3f2896crcp1,Pixel Count | Specs confirmed by devs/pubs
Red Dead Redemption 2,2560x1440,30,HDR,None,2152a1e96d5b47b18a5df7ca9bb0751frcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
Reigns,3840x2160,60,SDR,None,2677ffb357f946e29b4e86a9f18ea55frcp1,Pixel Count
Relicta,2496x1404,60,HDR,None,ed05d9df2ec4452594b07336e360a1aarcp1,Pixel Count
République,3840x2160,60,SDR,None,65864a95f9e74129845bda0467486413rcp1,Pixel Count | Specs confirmed by devs/pubs
Resident Evil 7 biohazard,2304x1296,60,HDR,None,8c452d1e69554c36a28b64ee8344037drcp1,Pixel Count
Resident Evil Village,2304x1296,60,HDR,None,c44439c4ee1741b383c93996985efddfrcp1,Pixel Count
Rise of the Tomb Raider: 20 Year Celebration,3840x2160,30,HDR,None,e5c6ec7bf437491ea4ac0917df8f9640rcp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
Risk of Rain 2,1920x1080,60,SDR,None,7b6d79b833354dcaa9b2461086a7763crcp1,Pixel Count
Rock of Ages 3: Make and Break,3840x2160,60,HDR,None,d3d8e467203d401387857d5b6cc27263rcp1,Pixel Count | No HDR settings
Saints Row: The Third Remastered,2112x1188,60,HDR,None,8d30307256df491c9d578792d11bd474rcp1,Pixel Count
SAMURAI SHODOWN (Standard Ver.),2560x1440,60,HDR,None,120348c2707740b99b509fad49a2f45drcp1,Pixel Count
Scott Pilgrim VS The World: The Game Complete Edition,Pixel Art/Retro,60,SDR,None,a3725b4a70aa4447b4c193125f3a2529rcp1,
Secret Neighbor,1920x1080,60,SDR,None,8f8d583a2ae843e0b31fa653cea5d27drcp1,Pixel Count | Not compatible with 4K mode
Sekiro: Shadows Die Twice,1920x1080,60,HDR,None,cc3f233990754f77a5819a583594f399rcp1,Pixel Count
Serious Sam 4,2560x1440,30,HDR,None,b3bd32ef05444a189dcdc88f8e85d7f2rcp1,Pixel Count | 30FPS in 1080p mode
Serious Sam Collection,2560x1440,60,SDR,None,cabec52b78264dafac69011aeacd5753rcp1,Pixel Count
Shadow of the Tomb Raider Definitive Edition,3840x2160,30,HDR,None,efa3b6108d3e41689b2223ba9d48f5c8rcp1,Pixel Count | Specs confirmed by devs/pubs | Performance/Quality toggle | 60FPS in 1080p mode
Shantae: Half-Genie Hero,,60,SDR,None,bd913a37ecfe4b8d8c68280f4e1781bbrcp1,Not compatible with 4K mode
Shantae: Risky's Revenge - Director's Cut,Pixel Art/Retro,60,SDR,None,4fe5de76fee2427591e4a61d046a20d0rcp1,Not compatible with 4K mode
Sniper Elite 4,2560x1440,60,HDR,None,1376a179ca87458b85acd44341854772rcp1,No HDR settings | Pixel Count
Spiritfarer,1920x1080,60,SDR,None,430bbe284fb7482c9afe8e877b119269rcp1,Not compatible with 4K mode | Pixel Count | Specs confirmed by devs/pubs
Spitlings,3840x2160,60,SDR,None,921e9afe46aa478fb4aa929a7b1a6bd5rcp1,Pixel Count | Specs confirmed by devs/pubs
SpongeBobSquarePants:Battle for Bikini BottomRehydrated,1920x1080,60,SDR,None,53bd183291e340dda697167108d3dc6brcp1,Pixel Count | Not compatible with 4K mode
Stacks On Stacks (On Stacks),3840x2160,60,SDR,None,15a067411b8d4429b0954434d8f05d48rcp1,Pixel Count
Star Wards Jedi: Fallen Order,1920x1080,60,HDR,None,36c01626f21f428e8d5ae35ce19c774brcp1,Pixel Count | No HDR settings
