Title,Image,Current State (EN),Release Date (EN),Maximum Resolution (EN),Pixel Count (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Comments (EN),Cross-platform (EN),Developers (EN),Publishers,Price (GBP),Price (USD),Button to Store
Gods Will Fall,gods-will-fall.webp (https://dl.airtable.com/.attachments/f0e5e824db1bfc044a0f547d0a83d2a2/ca963bf2/gods-will-fall.webp),Released,29.1.2021,3840x2160 (4K),gods_will_fall_proof.png (https://dl.airtable.com/.attachments/43fabaf79f2263e4f08ec243b8bbeef9/a7d16e0c/gods_will_fall_proof.png),60,SDR,Pixel Count,None,Clever Beans,Koch Media,£19.99,$24.99,https://stadia.google.com/store/details/f001c122cb70445d8a247d5b6f6334cbrcp1/sku/414526adae5641faa20c8725ed90f8bap
GRID,grid.webp (https://dl.airtable.com/.attachments/f6dfbae7b8bddff48b476210f6e2fd0e/1a396180/grid.webp),"Released,Previously Claimable with Pro",19.11.2019,3072x1728 (3K),grid_proof.png (https://dl.airtable.com/.attachments/2982930c737e8fa3480df87541ca8b21/5b77fd3a/grid_proof.png),60,HDR,Pixel Count,None,Codemasters,Codemasters,£54.99,$34.99,https://stadia.google.com/store/details/ca805d3d37404654a91d2ea62fad7bd4rcp1/sku/75be643ff0fb40d7873fa41edb10d98a
Gunsport,gunsport.webp (https://dl.airtable.com/.attachments/cefd10bbdcb0c460a062e18fbce9274c/9bd3ac78/gunsport.webp),"Released,Currently Claimable with Pro",1.9.2020,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/256e1149cb7a8e505597608d8674d47c/a4aea5e2/cooltext380356929453699.png),60,SDR,,None,Necrosoft Games,Necrosoft Games,£15.99,$19.99,https://stadia.google.com/store/details/16330bd770134d85b5bef3cc6b1407ffrcp1/sku/896565e45f974774a117876f949630df
GYLT,gylt.webp (https://dl.airtable.com/.attachments/a6656321adc371f5401e6edef06a9097/3e72c3fd/gylt.webp),"Released,Previously Claimable with Pro",19.11.2019,3840x2160 (4K),,60,HDR,Pixel Count,None,Tequila Works,Tequila Works,£29.99,$29.99,https://stadia.google.com/store/details/18a3cc2bb111419c8ac873086d04dfaarcp1/sku/9ac5597c3f4a4e648c9ae56bac3d1b32
Hello Neighbor,hello-neighbor.webp (https://dl.airtable.com/.attachments/edf60327bc1628dee6e50a9d049928ac/66b8f11f/hello-neighbor.webp),"Released,Previously Claimable with Pro",1.9.2020,1472x828,hn_proof.png (https://dl.airtable.com/.attachments/4d5b81e1a89bde6cd61b18d16e2675c2/540ab1c9/hn_proof.png),60,SDR,"Not compatible with 4K mode,Pixel Count",None,TinyBuild,TinyBuild,£24.99,$29.99,https://stadia.google.com/store/details/9dc548a191914b419cc80802ca64788frcp1/sku/dc0627d002f24fdba14ac6755250360ep
Hello Neighbor: Hide and Seek,hello-neighbor-hide-seek.webp (https://dl.airtable.com/.attachments/7b39f99d1dae2472fd8b1bd51a44e34d/ad852663/hello-neighbor-hide-seek.webp),"Released,Previously Claimable with Pro",1.11.2020,1472x828,hn_h&s_proof.png (https://dl.airtable.com/.attachments/ba1c8a85491f17f0ab26c24b2fcecca6/8d37afcd/hn_hs_proof.png),60,SDR,"Not compatible with 4K mode,Pixel Count",None,TinyBuild,TinyBuild,£24.99,$29.99,https://stadia.google.com/store/details/cf784a0f4c554ce68a2880cb461bd903rcp1/sku/ad2362e56c57469cafad1ed5799e8997p
Hellpoint,hellpoint.webp (https://dl.airtable.com/.attachments/073dd4d703b61e8aa0fde0cce74276b6/2b6f73fe/hellpoint.webp),Released,25.2.2021,1920x1080 (FHD),hellpoint_proof.png (https://dl.airtable.com/.attachments/eeb2532aa19f44f14b9dc21355432a4f/416d0029/hellpoint_proof.png),60,SDR,Pixel Count,None,Hologryph LLC,TinyBuild,£29.99,$34.99,https://stadia.google.com/store/details/c87989ee2285400c8ac96b8e52f57991rcp1/sku/068991be4dcb45419a11d3b8c9adc3d1p
HITMAN - The Complete First Season,hitman.webp (https://dl.airtable.com/.attachments/f0e214cb62af2fa0906fd4dfc9406deb/4c78eb8a/hitman.webp),"Released,Currently Claimable with Pro",1.9.2020,2560x1440 (2K),hitman_proof.png (https://dl.airtable.com/.attachments/fa0c0b4f978232e4973f631d6086936f/198fefdb/hitman_proof.png),60,HDR,Pixel Count,None,IO Interactive,IO Interactive,£49.99,$59.99,https://stadia.google.com/store/details/990ec302c2cd4ba7817cedcf633ab20frcp1/sku/cc1997b89ae44886a1197a59b42b2613
HITMAN 2,hitman-2.webp (https://dl.airtable.com/.attachments/4355774acfabb40adb7bdce88a1c2e78/0770bbbc/hitman-2.webp),"Released,Previously Claimable with Pro",1.9.2020,2560x1440 (2K),hitman2_proof.png (https://dl.airtable.com/.attachments/f1e1f310a41bc46c8be3c8777fbf2c43/8be2d367/hitman2_proof.png),60,HDR,Pixel Count,None,IO Interactive,IO Interactive,£54.99,$59.99,https://stadia.google.com/store/details/990ec302c2cd4ba7817cedcf633ab20frcp1/sku/70d2750d0c614a01afbb34e5c4f3a9bc
HITMAN 3,hitman-3.webp (https://dl.airtable.com/.attachments/9ffa64b8241251f0e715bc75cbc6bcc8/c207be5f/hitman-3.webp),Released,20.1.2021,2560x1440 (2K),hitman3_proof.png (https://dl.airtable.com/.attachments/c90099ddcd5be6ea932ed031d2682588/25f8acf4/hitman3_proof.png),60,HDR,Pixel Count,None,IO Interactive,IO Interactive,£54.99,$59.99,https://stadia.google.com/store/details/990ec302c2cd4ba7817cedcf633ab20frcp1/sku/a31dabb87e2441978da11fd60f3197dfp
Hotline Miami,hotline-miami.webp (https://dl.airtable.com/.attachments/682719ed091b991ae784544151a64622/7c250833/hotline-miami.webp),"Released,Previously Claimable with Pro",22.9.2020,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/2aa16384fc0e35772cd6a53c392723bf/24df3b2e/cooltext380356929453699.png),60,SDR,,None,Dennaton Games,Devolver Digital,£8.99,$9.99,https://stadia.google.com/store/details/5f54e869de4441f8998e80d2c54fa74brcp1/sku/be1bff38daf046f78cde2b36228de554
Hotline Miami 2: Wrong Number,hotline-miami-2-wrong-number.webp (https://dl.airtable.com/.attachments/c111dc45c2bbb6677df80223368f1c38/f7813714/hotline-miami-2-wrong-number.webp),"Released,Currently Claimable with Pro",22.9.2020,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/93d357ee857a57b4b2e770f3680eab51/447900d5/cooltext380356929453699.png),60,SDR,,None,Dennaton Games,Devolver Digital,£12.99,$14.99,https://stadia.google.com/store/details/68add0d67fe3491f94cb439664b1ffc7rcp1/sku/bc01f7206e4f4f83a468ce33eea0c404
Human: Fall Flat,human-fall-flat.webp (https://dl.airtable.com/.attachments/ecdc0eee3c471d64b5b3c9f8038f5a58/6ddb0daf/human-fall-flat.webp),"Released,Currently Claimable with Pro",1.10.2020,1280x720 (HD),hff_proof.png (https://dl.airtable.com/.attachments/1b58ec2063943de16f99528864cca670/c99a44e2/hff_proof.png),60,SDR,Pixel Count,None,Curve Digital,No Brakes Games,£11.99,$14.99,https://stadia.google.com/store/details/16d98de80a3340ffa4129953ae4e3206rcp1/sku/6ec089b591ee47fab2fed726e466700ap
HUMANKIND - Digital Deluxe Edition,humankind.webp (https://dl.airtable.com/.attachments/67bd7d55dbf5a7dff7da321cebd16377/25d0a217/humankind.webp),Pre-order,17.8.2021,3840x2160 (4K),,30,,Pixel Count,Partial Cross play,Amplitude Studios,SEGA Europe,£40.99,$49.79,https://stadia.google.com/store/details/3f40802097224fa1aaa0dcc4555828b7rcp1/sku/ca8344739a34441dac1f53938b55e178p
Hundred Days - Winemaking Simulator,hundred-days-winemaking-simulator.webp (https://dl.airtable.com/.attachments/877a06b7f79ce6f74498247d5de6b530/8fa6460f/hundred-days-winemaking-simulator.webp),Released,13.5.2021,3840x2160 (4K),hundred_proof.png (https://dl.airtable.com/.attachments/5d3422a3ea48a880a3d7a04cd32b1ea7/eab58304/hundred_proof.png),30,SDR,"Pixel Count,Performance/Quality toggle,60FPS in 1080p mode",None,Broken Arms Games,Broken Arms Games,,,https://stadia.google.com/store/details/0b14eb3560f94ed69375f6ca5b7491fercp1/sku/da04f57bb412431bb1152cac7bac248bp
IMMORTALS FENYX RISING,immortals-fenyx-rising.webp (https://dl.airtable.com/.attachments/908b2a4e4ca4d0335eeb5780bb2031db/568caf38/immortals-fenyx-rising.webp),Released,3.12.2020,2880x1620 (3K),,30,HDR,"Pixel Count,Specs confirmed by devs/pubs,Performance/Quality toggle,60FPS in 1080p mode",None,Ubisoft,Ubisoft,£59.99,$59.99,https://stadia.google.com/store/details/161f276db10947a199cd0260ed4dc248rcp1/sku/7f69e006dede4c8eab019dede177c57dp
Into the Breach,into-the-breach.webp (https://dl.airtable.com/.attachments/58dbf316c59ba0e1b50ef6a3446457b1/405dde5a/into-the-breach.webp),"Released,Previously Claimable with Pro",1.12.2020,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/fbc14a44efcdba8a23a4e32ad294e44a/dcf1bacc/cooltext380356929453699.png),60,HDR,,None,Subset Games,Subset Games,£14.99,$14.99,https://stadia.google.com/store/details/1a871cfe8a7d4ebc8592c2ad4bc07150rcp1/sku/ab83a7b5efed40188c8ab8798d7dbfa6
It Came From Space And Ate Our Brains,it-came-from-space-and-ate-our-brains.webp (https://dl.airtable.com/.attachments/77bddcc41f569f65873ca91bd2c52424/0259bfaa/it-came-from-space-and-ate-our-brains.webp),Released,2.3.2021,3840x2160 (4K),ictsaaob_proof.png (https://dl.airtable.com/.attachments/922e66dc5aba57de90e2706c2b6fa605/8a1e50cc/ictsaaob_proof.png),60,SDR,Pixel Count,None,Triangle Studios,Triangle Studios,£14.99,$14.99,https://stadia.google.com/store/details/004b82924b0441c5a2ba6488cca19b90rcp1/sku/cf6b0ff80be24b3591051fb31a0765c0p
Jotun: Valhalla Edition,jotun-valhalla-edition.webp (https://dl.airtable.com/.attachments/0cc8b83a75fc4af82a56e32e9b121cba/2140d07e/jotun-valhalla-edition.webp),"Released,Previously Claimable with Pro",26.5.2020,1920x1080 (FHD),jotun_proof.png (https://dl.airtable.com/.attachments/e41fc64b13eb8f90fca120266d1db211/20db0a21/jotun_proof.png),60,SDR,"Pixel Count,Specs confirmed by devs/pubs,Not compatible with 4K mode",None,Thunder Lotus Games,Thunder Lotus Games,£11.99,$19.99,https://stadia.google.com/store/details/c727a9083ce649e5b1cc6999c4fa2e5frcp1/sku/43fb9c029d0641e290fdbaedea1c3a40
Journey to the Savage Planet,journey-to-the-savage-planet.webp (https://dl.airtable.com/.attachments/6d3ea5bb1fd85d627c13787983bcaf39/a1e2ec1f/journey-to-the-savage-planet.webp),"Released,Currently Claimable with Pro",1.2.2021,3840x2160 (4K),jttsp_proof.png (https://dl.airtable.com/.attachments/d03ec5792882d4443723007c34690839/33c33c89/jttsp_proof.png),60,SDR,Pixel Count,None,Stadia Games and Entertainment,Stadia Games and Entertainment,£19.99,$19.99,https://stadia.google.com/store/details/22c6d03e67474644a139de4f04a08c11rcp1/sku/a287b8393c204384a8b940dc79d142fd
Judgment,judgment.webp (https://dl.airtable.com/.attachments/0440cb1a6e82247c5f909a57acab712d/7e7ee3a2/judgment.webp),Released,23.4.2021,1920x1080 (FHD),judgement_proof.png (https://dl.airtable.com/.attachments/78310aa45c12ea0d3b92c10b8afc6f63/909fc3c4/judgement_proof.png),60,SDR,Pixel Count,None,Ryu Ga Gotoku Studio,SEGA Europe,,,https://stadia.google.com/store/details/3b8cebf1104f4705b8e8d1994429ec4crcp1/sku/c42a74b39a05482e9043ba235f035268p
Just Dance 2020,just-dance-2020.webp (https://dl.airtable.com/.attachments/271de19f013c30a69d62246b5d1e96f1/8ece8993/just-dance-2020.webp),Released,19.11.2019,1920x1080 (FHD),,60,SDR,"Pixel Count,Specs confirmed by devs/pubs",None,Ubisoft,Ubisoft,£39.99,$49.99,https://stadia.google.com/store/details/4b7f307c37364d659118bf7d435733c7rcp1/sku/3feef74cbacf4ba39b5d9087e0dfb9e4
Just Dance 2021,just-dance-2021.webp (https://dl.airtable.com/.attachments/21fb3ba2045b7a16c38f575e56defd19/21f7c63b/just-dance-2021.webp),Released,12.11.2020,,,60,HDR,,None,Ubisoft,Ubisoft,£49.99,$49.99,https://stadia.google.com/store/details/b87ca389d6454546af28dff82898406arcp1/sku/691ff561f94e4fe79a219434f4186862
Just Shapes & Beats,image.png (https://dl.airtable.com/.attachments/845bd3f6bb585e0382fe298ebdc81375/43036348/image.png),"Released,Previously Claimable with Pro",30.6.2020,3840x2160 (4K),jsab_proof.png (https://dl.airtable.com/.attachments/61ddc894b9612ac6a4df3fc620900667/b992b5fd/jsab_proof.png),60,HDR,"Pixel Count,Specs confirmed by devs/pubs",None,Berzerk,Berzerk,£15.99,$19.99,https://stadia.google.com/store/details/6b43cecd79734ba28cef5894985c65f1rcp1/sku/a8918900bd834426ab8f5a55fba998c7
Kaze and the Wild Masks,kaze-and-the-wild-masks.webp (https://dl.airtable.com/.attachments/a941598534a606cf1295b1359e22e200/27d994b9/kaze-and-the-wild-masks.webp),Released,25.3.2021,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/475ecdcf7e4480cca1a198abb67f98d9/2d33cc01/cooltext380356929453699.png),60,,,None,"PixelHive,SOEDESCO Studios",SOEDESCO,£29.99,,https://stadia.google.com/store/details/46f42ce202a6460d897fb43f43e20846rcp1/sku/661e3e532e16441a8f79f09e369d1ebbp
Kemono Heroes,image.png (https://dl.airtable.com/.attachments/15d2c1aeb15d4dc333a9c334c2335bbf/f6a1415c/image.png),Released,1.4.2021,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/6767308cfca74cbeaa332468a52cde2b/137b1af2/cooltext380356929453699.png),,,,None,Mad Gear Games SL,NIS America,£14.99,$14.99,https://stadia.google.com/store/details/81733d32e2db41f9a58b97aa80c0b2fcrcp1/sku/75f3878de6e64b6084650d3dabd25abap
Killer Queen Black,image.png (https://dl.airtable.com/.attachments/93fe24d352fe7442e8ff9965595edffb/bdda1c88/image.png),Released,30.3.2021,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/b3d8725fb0766a0dc54a5393660ed56f/18689735/cooltext380356929453699.png),60,SDR,Not compatible with 4K mode,Full cross play,Liquid Bit,Liquid Bit,£16.99,,https://stadia.google.com/store/details/3f30ebc3799945fea323f8a663c35501rcp1/sku/70065c4266c5464ca068d225cd341902p
Kine,kine.webp (https://dl.airtable.com/.attachments/dbc34c2d3c17087a12ba8f103a20cbf7/877863a2/kine.webp),"Released,Previously Claimable with Pro",19.11.2019,3840x2160 (4K),kine_proof.png (https://dl.airtable.com/.attachments/00ce0c5de3a743b31d397f0aed7e12a2/eb92021e/kine_proof.png),60,SDR,"Pixel Count,Specs confirmed by devs/pubs",None,Chump Squad,Chump Squad,£19.99,$19.99,https://stadia.google.com/store/details/da94f3aa88b24eb6ae6fdff798f73355rcp1/sku/8d3124a81f6444219acd3d99c90a5658
Kona,image.png (https://dl.airtable.com/.attachments/358d3c250c6ffe4f4b17555778a1c1c0/8da559c2/image.png),"Released,Previously Claimable with Pro",1.8.2020,2560x1440 (2K),kona_proof.png (https://dl.airtable.com/.attachments/fe507694af3aabd20fd8c030467f5b4c/b3db7b4d/kona_proof.png),60,HDR,Pixel Count,None,Parabole,Koch Media,£12.99,$14.99,https://stadia.google.com/store/details/f5f9708a422a44cc876c240cfa07221drcp1/sku/12f3e5611c34478fb0285c6de4f2a8aa
Lara Croft and the Guardian of Light,lara-croft-and-the-guardian-of-light.webp (https://dl.airtable.com/.attachments/ef524ddbfcff57a87368192876dc28f8/9faf0c10/lara-croft-and-the-guardian-of-light.webp),"Released,Previously Claimable with Pro",22.12.2020,3840x2160 (4K),guardianofthelight_proof.png (https://dl.airtable.com/.attachments/d376bd107a2657f1f53523c4bbfafe98/53105c4a/guardianofthelight_proof.png),60,HDR,"No HDR settings,Pixel Count",None,"Crystal Dynamics,Nixxes",Square Enix,£11.99,$14.99,https://stadia.google.com/store/details/29b3d5d6788f444c8cd59aa0a49d1bd1rcp1/sku/b4f4f4de3d1e4eef9417a9c896513f0ap
Lara Croft and the Temple of Osiris,image.png (https://dl.airtable.com/.attachments/81c89fe33957aaab418229afd2c95936/5d831580/image.png),"Released,Previously Claimable with Pro",15.7.2020,2560x1440 (2K),tod_proof.png (https://dl.airtable.com/.attachments/023c7984bda4e4d7425decb5bb0d26ab/5ef0deaa/tod_proof.png),60,HDR,"Pixel Count,No HDR settings",None,Nixxes,Square Enix,£14.99,$19.99,https://stadia.google.com/store/details/6d0d865669774338b3ce888a84da6cdercp1/sku/163efc95783a4c39839c218b75e36127
Legend of Keepers: Career of a Dungeon Manager,image.png (https://dl.airtable.com/.attachments/e40b2ec665842fd2758d83a5f0c5dacc/e50c9be8/image.png),Released,29.4.2021,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/dd6ca30811dea6a2b4d955ad1e1b2f1f/f72c2eda/cooltext380356929453699.png),60,HDR,No HDR settings,None,Goblinz Studio,Goblinz Studio,,,https://stadia.google.com/store/details/ba593716983f436ea49ae09a531d65b5rcp1/sku/83e17749482942da85f0c20ea0d47ca5p
Life is Strange: True Colors,life-is-strange-true-colors.webp (https://dl.airtable.com/.attachments/c266ccada1adce38d78ecb67c341b089/23cad68b/life-is-strange-true-colors.webp),Pre-order,10.9.2021,,,,,,None,"Square Enix,Deck Nine Games",Square Enix,£49.99,,https://stadia.google.com/store/details/00c1858d808f469297b1200c8383f5f5rcp1/sku/148d525554cc4dd6ac40cb61cd98e902p
Little Big Workshop,little-big-workshop.webp (https://dl.airtable.com/.attachments/ee4eeb68bdd16fd5027f62c8b9daf967/91bea692/little-big-workshop.webp),Released,5.11.2020,3840x2160 (4K),lbw_proof.png (https://dl.airtable.com/.attachments/4bba9a5246b083990e3dcd2b226d4e55/70d17bb9/lbw_proof.png),60,SDR,Pixel Count,None,Massive Miniteam,Handy Games,£17.99,$19.99,https://stadia.google.com/store/details/e4e8f5e5bc744270a644c554ba3f2962rcp1/sku/c00cecabcbde4e95bdab69be6e80b40bp
Little Nightmares,little-nightmares.webp (https://dl.airtable.com/.attachments/cfafa4449fb6cf7fa9ce61975721d5a2/a5a38f67/little-nightmares.webp),"Released,Previously Claimable with Pro",1.6.2020,3840x2160 (4K),,60,SDR,Pixel Count,None,Engine Software,BANDAI NAMCO Entertainment,£15.99,$29.99,https://stadia.google.com/store/details/3aed855f10b34f618e5f6c6f5467bcf9rcp1/sku/77ab8b1807a849e3991826d8d7a9e3e0
Little Nightmares 2,little-nightmares-ii.webp (https://dl.airtable.com/.attachments/a177603a76456c3e988d05c401456c44/09e75eb1/little-nightmares-ii.webp),"Released,Currently Claimable with Pro",11.2.2021,2880x1620 (3K),,60,SDR,Pixel Count,None,Supermassive Games,BANDAI NAMCO Entertainment,£24.99,$29.99,https://stadia.google.com/store/details/0175bc876f55414ca207b2ea6691cfb2rcp1/sku/657a67fa3574490aa63600ea1d4b5c2dp
Lost Words: Beyond the Page,lost-words-beyond-the-page.webp (https://dl.airtable.com/.attachments/eac542b1d5592ee674bcc14b1102a7fa/0e5822c7/lost-words-beyond-the-page.webp),Released,27.3.2020,,,60,HDR,,None,Sketchbook Games,Modus Games,£11.99,$14.99,https://stadia.google.com/store/details/d334bea27ee64ef5a3a9bb14b1d6a88ercp1/sku/ab6a5a0d448d4c7aaed8dfa91ad6f4b9
Madden 21,madden-nfl-21.webp (https://dl.airtable.com/.attachments/5661f9f512a43b4643e00bdcb411d81b/041dcc4a/madden-nfl-21.webp),Released,28.1.2021,3840x2160 (4K),madden_proof.png (https://dl.airtable.com/.attachments/fa1b947cb8f47ae4c1f1de1208bb11fb/8e9c3306/madden_proof.png),60,HDR,"Pixel Count,No HDR settings",None,Electronic Arts Inc.,Electronic Arts Inc,£59.99,$59.99,https://stadia.google.com/store/details/0e6c703afde840148204847447b9c21drcp1/sku/7f7cf21388134e2d9218968af61ab7dap
Marvel's Avengers,marvels-avengers.webp (https://dl.airtable.com/.attachments/2465af04fa15f494f05ea66622b9a74d/f15f8833/marvels-avengers.webp),Released,1.9.2020,3840x2160 (4K),,30,HDR,"Pixel Count,60FPS in 1080p mode",None,"Crystal Dynamics,Eidos Interactive,Nixxes",Square Enix,£59.99,$59.99,https://stadia.google.com/store/details/232ff8abc7f74421a477e9e09dbf487drcp1/sku/cfc62fc3307a4ef1930e4644646c8179p
Metro 2033 Redux,image.png (https://dl.airtable.com/.attachments/2a160859670408a0f84978de96af4d2a/9774ee9f/image.png),"Released,Previously Claimable with Pro",23.6.2020,2560x1440 (2K),metro_proof.png (https://dl.airtable.com/.attachments/b1f4c85ce847546f3983e47b4d5cefad/40cf532d/metro_proof.png),60,SDR,Pixel Count,None,4A Games,Koch Media,£15.99,$19.99,https://stadia.google.com/store/details/9b3ea6519cac48d68ca821f07b1a6a3drcp1/sku/de1e97332f1148468759dfc4553edad9
Metro Exodus,metro-exodus.webp (https://dl.airtable.com/.attachments/b30d4d4383009d4222dc017c11a9ac89/892b7730/metro-exodus.webp),"Released,Previously Claimable with Pro",19.11.2019,3840x2160 (4K),exodus_proof.png (https://dl.airtable.com/.attachments/22c0e5ad0e70debe65c47a2d1e14f583/6ad2b20b/exodus_proof.png),30,HDR,"Pixel Count,60FPS in 1080p mode",None,4A Games,Koch Media,£34.99,$39.99,https://stadia.google.com/store/details/879d82512f5441829250ead1aa678a70rcp1/sku/8ca5e97f091e4f7fbfcf8069ba850b1f
Metro Last Light Redux,image.png (https://dl.airtable.com/.attachments/09da1fd82db3d318ed4742bf3b281ce7/1aacb25e/image.png),"Released,Previously Claimable with Pro",23.6.2020,2560x1440 (2K),lastlight_proof.png (https://dl.airtable.com/.attachments/ffe3c8b76df06e63377658519a5e81f8/b0d53668/lastlight_proof.png),60,HDR,"Pixel Count,No HDR settings",None,4A Games,Koch Media,£15.99,$19.99,https://stadia.google.com/store/details/b65c1c4dcdf24446bcecda190c6a2fe7rcp1/sku/92cd0fa4958444b5846d1b72878c7e25
Monopoly,monopoly.webp (https://dl.airtable.com/.attachments/98dd4016f84d26e6187d29b2a74bcc46/7183661c/monopoly.webp),Released,28.4.2020,2560x1440 (2K),monopoly_proof.png (https://dl.airtable.com/.attachments/367f8d27957ead27557ea913a40006de/1228c5b8/monopoly_proof.png),60,SDR,Pixel Count,None,Engine Software,Ubisoft,£29.99,$39.99,https://stadia.google.com/store/details/10b8a9cc8ec746f29afc1fc3c3ded28brcp1/sku/256f320f886b4ee68b7980d6fc1bd1b1
Monster Boy and the Cursed Kingdom,image.png (https://dl.airtable.com/.attachments/05f320f0cd5ae1ca1ed3b5cb0a4cd7b1/0f49c9c4/image.png),"Released,Previously Claimable with Pro",1.7.2020,,,60,SDR,,None,FDG Entertainment,FDG Entertainment,£24.99,$39.99,https://stadia.google.com/store/details/ef14fb2f692c4b42b4b092d3e7864cd8rcp1/sku/38f772ac664545d99890ebb460d1d894
Monster Energy Supercross - The Official Videogame 3,image.png (https://dl.airtable.com/.attachments/f8a64417c4d64929bfd527c682cc84e6/a54bbb84/image.png),Released,4.2.2020,3840x2160 (4K),,30,HDR,"Pixel Count,60FPS in 1080p mode",None,Milestone,Milestone,£49.99,$59.99,https://stadia.google.com/store/details/d50e1c1b61224bceb65da9406f3f4e8frcp1/sku/3ac3e537019c49028d7bb98e8cd92482
Monster Energy Supercross - The Official Videogame 4,supercross-4.webp (https://dl.airtable.com/.attachments/a2477eb48730775b492bac71e9de9cb5/ba63e70b/supercross-4.webp),Released,11.3.2021,2880x1620 (3K),monster_supercross_4_proof.png (https://dl.airtable.com/.attachments/bdb77d2ffbdfd6d46be90e19e182bc7b/7e69bc94/monster_supercross_4_proof.png),30,HDR,"Pixel Count,Performance/Quality toggle,60FPS in 1080p mode",None,Milestone,Milestone,£49.99,$59.99,https://stadia.google.com/store/details/a62130f4b41b4878a00f8ec444df6b01rcp1/sku/5e700b58ae2546a2b5c4cc13da8f37a2p
Monster Jam Steel Titans,monster-jam-steel-titans.webp (https://dl.airtable.com/.attachments/13c6d6eafb7f6a697bba1759437d7f26/a907bfe6/monster-jam-steel-titans.webp),"Released,Previously Claimable with Pro",1.12.2020,3840x2160 (4K),Monster_Jam_Proof.png (https://dl.airtable.com/.attachments/a35bf740a5b1bab5b044d83749273741/a5901159/Monster_Jam_Proof.png),30,SDR,Pixel Count,None,Rainbow Studios,THQ Nordic,£26.99,$29.99,https://stadia.google.com/store/details/e7506ec75c8046dfa7879fe604505ca7rcp1/sku/2af064a6b4814ae6a280ab8018842623p
Monster Jam Steel Titans 2,monster-jam-steel-titans-2.webp (https://dl.airtable.com/.attachments/c3576d273ddd5d41a46f4247050c4d45/6a1b016f/monster-jam-steel-titans-2.webp),Released,2.3.2021,3840x2160 (4K),mjst2_proof.png (https://dl.airtable.com/.attachments/5138443f11e60ba6616e6a203766cc83/6616e0be/mjst2_proof.png),30,SDR,"Pixel Count,30FPS in 1080p mode",None,Rainbow Studios,THQ Nordic,£34.99,$39.99,https://stadia.google.com/store/details/3fa9461d9fbd4fb3855039d9b64ca736rcp1/sku/9fcd42244f3a456fa24dbc536564e457p
Mortal Kombat 11,mortal-kombat-11.webp (https://dl.airtable.com/.attachments/55eac1e6e1f320e3e3441d102071556b/700d5597/mortal-kombat-11.webp),Released,19.11.2019,2560x1440 (2K),mk11_proof.png (https://dl.airtable.com/.attachments/a0b861f00c88328a7974e2b3b5408f3b/157a5b01/mk11_proof.png),60,HDR,Pixel Count,None,QLOC,WB Games,£39.99,$59.99,https://stadia.google.com/store/details/7bfbcba307114ab88ae4231da2ec85d3rcp1/sku/f3f250e8a4d54f60ba730fbc04268052
MotoGP 20,motogp-20.webp (https://dl.airtable.com/.attachments/f2b075b5e64187c849d8ff9a2581e9a7/f182edf5/motogp-20.webp),"Released,Currently Claimable with Pro",23.4.2020,2560x1440 (2K),,30,HDR,"Pixel Count,60FPS in 1080p mode",None,Milestone,Milestone,£49.99,$59.99,https://stadia.google.com/store/details/e465c4086aff4884990933d9f119f5f5rcp1/sku/b0c60f8483be419eb2335a79a0783cc5
Murder by Numbers,murder-by-numbers.webp (https://dl.airtable.com/.attachments/d4e8d0b9790d277b20e4a6b9f580512e/f4b3d81e/murder-by-numbers.webp),Released,23.3.2021,1920x1080 (FHD),mbn_proof.png (https://dl.airtable.com/.attachments/4ec4d2498f22f7c7a54950190aec4692/c6d28ea4/mbn_proof.png),60,SDR,"Pixel Count,Not compatible with 4K mode",None,Mediatonic,Irregular Corp,£11.99,,https://stadia.google.com/store/details/ee055d3ed7d3485d81ee329ec554c207rcp1/sku/56f0d41333854907884b544e90a4c2a0p
Nanotale - Typing Chronicles,image.png (https://dl.airtable.com/.attachments/3002efc977991a378834b72448cffa11/6e05299d/image.png),Released,31.3.2021,3840x2160 (4K),nanotale_poroof.png (https://dl.airtable.com/.attachments/a338d50308850b3a14de48d3c80eef9f/c6b6fc72/nanotale_poroof.png),30,SDR,Pixel Count,None,Fishing Cactus,Fishing Cactus,,$19.99,https://stadia.google.com/store/details/4108770e33414848ae849cb6ad14e685rcp1/sku/32f70a285ee34bdfba4261237f869ad9p
