Title,Image,Current State (EN),Release Date (EN),Maximum Resolution (EN),Pixel Count (EN),Framerate in 4K mode (EN),HDR/SDR (EN),Comments (EN),Cross-platform (EN),Developers (EN),Publishers,Price (GBP),Price (USD),Button to Store
Blue Fire,blue-fire.webp (https://dl.airtable.com/.attachments/3de5157029feadab2a4ec56348ed1591/c9d86fb7/blue-fire.webp),"Released,Currently Claimable with Pro",1.6.2021,3840x2160 (4K),bluefire_proof.png (https://dl.airtable.com/.attachments/04f5298de8fc4925893d903effecf1c5/98ab8425/bluefire_proof.png),60,SDR,Pixel Count,None,Graffiti Games,Graffiti Games,,,https://stadia.google.com/store/details/e9c4d2fc77424c34b0cd570bd761aab0rcp1/sku/f368b1f436404e55bd96d733652d75a7p
Borderlands 3,borderlands-3.webp (https://dl.airtable.com/.attachments/2367a1690e9178396119c9d7ec2937d0/c10b31bf/borderlands-3.webp),Released,17.12.2019,3200x1800 (3.5K),bl3_proof.png (https://dl.airtable.com/.attachments/b389ca98f8241793db7c22d748ed1173/d0f152cf/bl3_proof.png),30,HDR,"Pixel Count,60FPS in 1080p mode",None,Gearbox,2K,£49.99,$59.99,https://stadia.google.com/store/details/be080ad40b434ca289166031d3e88623rcp1/sku/958f4c0900c64e7e83b9218ab479304e
Cake Bash,cake-bash.webp (https://dl.airtable.com/.attachments/90e1e1276394602102a388f6cb3706a5/e9f77d17/cake-bash.webp),Released,15.10.2020,3840x2160 (4K),cakebash_proof.png (https://dl.airtable.com/.attachments/1aa95ce51198aa5537d58e081fabecf2/64821757/cakebash_proof.png),60,SDR,"Performance/Quality toggle,Pixel Count,Specs confirmed by devs/pubs",Partial Cross play,High Tea Frog,Coatsink,£19.99,$19.99,https://stadia.google.com/store/details/19efd5fa36794d7b8bc87de68124e705rcp1/sku/a7f0a6098ae747788a6f75d0d1e1d8f2p
Celeste,image.png (https://dl.airtable.com/.attachments/412439503a2fd58bf0996029a4e0b008/fe7ffcfd/image.png),"Released,Previously Claimable with Pro",28.7.2020,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/64ea56ac78377a6892a82075cdd3fd99/108cb527/cooltext380356929453699.png),60,SDR,Pixel Count,None,Matt Makes Games,Matt Makes Games,£15.99,$19.99,https://stadia.google.com/store/details/c911998e4f8d4c6ea6712c5ad33e4a54rcp1/sku/68fb07a7c4ac41f1afb21d742c717538
Chronos: Before the Ashes,chronos-before-the-ashes.webp (https://dl.airtable.com/.attachments/e0bc4ce4cafbbf5573f139a2b94a8e92/70618277/chronos-before-the-ashes.webp),"Released,Currently Claimable with Pro",1.12.2020,3840x2160 (4K),chronos_proof.png (https://dl.airtable.com/.attachments/b1a576bfaab6cbfa674523aa80b33143/f9e7c46a/chronos_proof.png),60,SDR,Pixel Count,None,Gunfire Games,THQ Nordic,£26.99,$29.99,https://stadia.google.com/store/details/3f94b62fa50c4202be10472947478f8frcp1/sku/c3fcca2c75614bf6b634bedc2f766003p
Cosmic Star Heroine,image.png (https://dl.airtable.com/.attachments/63d369827d00a98befcd85d6d37231d4/1d21f57b/image.png),Released,1.3.2021,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/08df028f348aed3403ac32420441b742/4ec3e90f/cooltext380356929453699.png),60,SDR,Not compatible with 4K mode,None,Zeboyd Digital Entertainment LLC,Zeboyd Digital Entertainment LLC,£10.99,$14.99,https://stadia.google.com/store/details/88396e4e44c94d43b4259e6bedbd582crcp1/sku/8eec020af3914643b3ce2ff4332b9a4cp
Crayta,image.png (https://dl.airtable.com/.attachments/54ca8d3ffaf25ada19cb55e6d3096b72/c6a9598b/image.png),"Released,Currently Claimable with Pro",1.7.2020,2560x1440 (2K),crayta_proof.png (https://dl.airtable.com/.attachments/2f62da8884a262f33f85fa250d978a77/668b3ab0/crayta_proof.png),60,HDR,Pixel Count,Partial Cross play,Unit 2 Games,Unit 2 Games,£29.99,$0.00,https://stadia.google.com/store/details/05f66a46027747a08b930ea70374ac7frcp1/sku/bf97db3ce0644a448815aef1a5c33e0a
Cris Tales,cris-tales.webp (https://dl.airtable.com/.attachments/e096df2d5ab6b1c789a08299e1892578/90e299dd/cris-tales.webp),"""Announced, No Pre-order""",20.7.2021,,,,,,,,,,,
Cthulhu Saves Christmas,cthulhu-saves-christmas.webp (https://dl.airtable.com/.attachments/dd2e333521b2f81925700c9e8db79f6a/fe7ef57f/cthulhu-saves-christmas.webp),"Released,Currently Claimable with Pro",22.12.2020,Pixel Art/Retro,cooltext380356929453699.png (https://dl.airtable.com/.attachments/1901ae92b273980b3b9f45c21521ecdf/19bab71d/cooltext380356929453699.png),60,SDR,Not compatible with 4K mode,None,Zeboyd Digital Entertainment LLC,Zeboyd Digital Entertainment LLC,£8.99,$9.99,https://stadia.google.com/store/details/769a088b9ef04c04b341911a1ef8b8ecrcp1/sku/5748ef643485495ba71d15041c44f0d4p
Cyberpunk,cyberpunk-2077.webp (https://dl.airtable.com/.attachments/fe632a52f81e7f497b4ab87ad80ca5c8/aacbc4f2/cyberpunk-2077.webp),Released,10.12.2020,3200x1800 (3.5K),cyberpunk_proof.png (https://dl.airtable.com/.attachments/3d839b665132cb32851e70b6329ea913/26f9b819/cyberpunk_proof.png),30,HDR,"Pixel Count,Specs confirmed by devs/pubs,Performance/Quality toggle,60FPS in 1080p mode,30FPS in 1080p mode",None,CD Projekt Red,CD Projekt Red,£49.99,$59.99,https://stadia.google.com/store/details/49697e672bc34e7d8a5f73f78cb580d0rcp1/sku/cb3e8ed4bf954c9984fda697f2e8c06dp
