Title,Store Link,Maximum Resolution (EN),Framerate in 4K mode (EN),HDR/SDR (EN),ID,Chris' Comments Box
Epistory - Typing Chronicles,https://stadia.google.com/store/details/cddb29b222924d11b2bf03a82fee477arcp1/sku/f22c0b322aac4f6dbb9c822780f956c7p,3840x2160 (4K),60,SDR,cddb29b222924d11b2bf03a82fee477arcp1,Pixel Count
Everspace,https://stadia.google.com/store/details/44752f1774ca4508a2c45e57121d7e8frcp1/sku/dfda545ac2e94885a13b1434d370d4b0,1920x1080 (FHD),60,SDR,44752f1774ca4508a2c45e57121d7e8frcp1,Pixel Count | Specs confirmed by devs/pubs | Not compatible with 4K mode
F1 2020,https://stadia.google.com/store/details/f3519f3dc3d74fbb8086520577b832e0rcp1/sku/60da786be741463fbbeb63ed5130bc11,3840x2160 (4K),60,HDR,f3519f3dc3d74fbb8086520577b832e0rcp1,Pixel Count | Specs confirmed by devs/pubs
Family Feud,https://stadia.google.com/store/details/5ba98de70c8c4b64bf56ca9009d60e62rcp1/sku/3af579475c334c62985ac80b3dfed0bap,,60,SDR,5ba98de70c8c4b64bf56ca9009d60e62rcp1,
Far Cry 5,https://stadia.google.com/store/details/7d9beb13648d44839b9aeea7555c37c0rcp1/sku/b446084511c54da8a9b3381be38255c7p,3840x2160 (4K),30,HDR,7d9beb13648d44839b9aeea7555c37c0rcp1,Pixel Count | Specs confirmed by devs/pubs | 30FPS in 1080p mode
Far Cry 6,https://stadia.google.com/store/details/5eb3896383464e2897b3d4b56a5b3a1drcp1/sku/42af7e07fe9241519c6dce7597dde5f0p,,,,5eb3896383464e2897b3d4b56a5b3a1drcp1,
Far Cry New Dawn,https://stadia.google.com/store/details/a2a4ff75e249404a975db7ae5f77e536rcp1/sku/f500f7d58be94fa389e1cdef3bf1118ep,3840x2160 (4K),30,HDR,a2a4ff75e249404a975db7ae5f77e536rcp1,Pixel Count | Specs confirmed by devs/pubs | 30FPS in 1080p mode
Farming Simulator 19,https://stadia.google.com/store/details/ebf235012b054269af70eee901bc85cfrcp1/sku/c50094b71d054fc28f3116245d9dbc9a,3360x1890 (3.5K),60,HDR,ebf235012b054269af70eee901bc85cfrcp1,Pixel Count | Specs confirmed by devs/pubs
FIFA 21,https://stadia.google.com/store/details/2c4539adc1e641c0bb2cd0e4032eec75rcp1/sku/700cbb2e56894745816e73bdbd86f809,3840x2160 (4K),60,HDR,2c4539adc1e641c0bb2cd0e4032eec75rcp1,Pixel Count
Figment,https://stadia.google.com/store/details/7183914d07034cb1bbb8a511779bc1efrcp1/sku/dfc0719b3a5b48ab8213033dc72bfdfcp,1920x1080 (FHD),60,SDR,7183914d07034cb1bbb8a511779bc1efrcp1,Pixel Count | Specs confirmed by devs/pubs | Not compatible with 4K mode
Final Fantasy XV,https://stadia.google.com/store/details/a447622dbe084c3e9ace4f913a939afarcp1/sku/1611bf48ac784869bcbd1ce85bc71add,1920x1080 (FHD),30,HDR,a447622dbe084c3e9ace4f913a939afarcp1,Pixel Count | No HDR settings | 30FPS in 1080p mode
Floor Kids,https://stadia.google.com/store/details/e184f2da322a41c9a31b3ef2c473f95arcp1/sku/c78b6a8ef7734bbf8de9c068eeadd049p,1920x1080 (FHD),60,HDR,e184f2da322a41c9a31b3ef2c473f95arcp1,Pixel Count | Not compatible with 4K mode | No HDR settings
Football Manager 2020,https://stadia.google.com/store/details/8a3cc52ad2334b1e91ded77bc43644e0rcp1/sku/32a0791a88474f08ad7a687846b786f2,1920x1080 (FHD),60,HDR,8a3cc52ad2334b1e91ded77bc43644e0rcp1,Pixel Count
FORECLOSED,,,,,#ERROR!,
Get Packed,https://stadia.google.com/store/details/73182869b2a644bdbef46984b96e1721rcp1/sku/a6ffc113bea9495b84581796893ebf50,1920x1080 (FHD),60,SDR,73182869b2a644bdbef46984b96e1721rcp1,Pixel Count
Gods Will Fall,https://stadia.google.com/store/details/f001c122cb70445d8a247d5b6f6334cbrcp1/sku/414526adae5641faa20c8725ed90f8bap,3840x2160 (4K),60,SDR,f001c122cb70445d8a247d5b6f6334cbrcp1,Pixel Count
GRID,https://stadia.google.com/store/details/ca805d3d37404654a91d2ea62fad7bd4rcp1/sku/75be643ff0fb40d7873fa41edb10d98a,3072x1728 (3K),60,HDR,ca805d3d37404654a91d2ea62fad7bd4rcp1,Pixel Count
Gunsport,https://stadia.google.com/store/details/16330bd770134d85b5bef3cc6b1407ffrcp1/sku/896565e45f974774a117876f949630df,Pixel Art/Retro,60,SDR,16330bd770134d85b5bef3cc6b1407ffrcp1,
GYLT,https://stadia.google.com/store/details/18a3cc2bb111419c8ac873086d04dfaarcp1/sku/9ac5597c3f4a4e648c9ae56bac3d1b32,3840x2160 (4K),60,HDR,18a3cc2bb111419c8ac873086d04dfaarcp1,Pixel Count
Hello Neighbor,https://stadia.google.com/store/details/9dc548a191914b419cc80802ca64788frcp1/sku/dc0627d002f24fdba14ac6755250360ep,1472x828,60,SDR,9dc548a191914b419cc80802ca64788frcp1,Not compatible with 4K mode | Pixel Count
Hello Neighbor: Hide and Seek,https://stadia.google.com/store/details/cf784a0f4c554ce68a2880cb461bd903rcp1/sku/ad2362e56c57469cafad1ed5799e8997p,1472x828,60,SDR,cf784a0f4c554ce68a2880cb461bd903rcp1,Not compatible with 4K mode | Pixel Count
Hellpoint,https://stadia.google.com/store/details/c87989ee2285400c8ac96b8e52f57991rcp1/sku/068991be4dcb45419a11d3b8c9adc3d1p,1920x1080 (FHD),60,SDR,c87989ee2285400c8ac96b8e52f57991rcp1,Pixel Count
HITMAN - The Complete First Season,https://stadia.google.com/store/details/990ec302c2cd4ba7817cedcf633ab20frcp1/sku/cc1997b89ae44886a1197a59b42b2613,2560x1440 (2K),60,HDR,990ec302c2cd4ba7817cedcf633ab20frcp1,Pixel Count
HITMAN 2,https://stadia.google.com/store/details/990ec302c2cd4ba7817cedcf633ab20frcp1/sku/70d2750d0c614a01afbb34e5c4f3a9bc,2560x1440 (2K),60,HDR,990ec302c2cd4ba7817cedcf633ab20frcp1,Pixel Count
HITMAN 3,https://stadia.google.com/store/details/990ec302c2cd4ba7817cedcf633ab20frcp1/sku/a31dabb87e2441978da11fd60f3197dfp,2560x1440 (2K),60,HDR,990ec302c2cd4ba7817cedcf633ab20frcp1,Pixel Count
Hotline Miami,https://stadia.google.com/store/details/5f54e869de4441f8998e80d2c54fa74brcp1/sku/be1bff38daf046f78cde2b36228de554,Pixel Art/Retro,60,SDR,5f54e869de4441f8998e80d2c54fa74brcp1,
Hotline Miami 2: Wrong Number,https://stadia.google.com/store/details/68add0d67fe3491f94cb439664b1ffc7rcp1/sku/bc01f7206e4f4f83a468ce33eea0c404,Pixel Art/Retro,60,SDR,68add0d67fe3491f94cb439664b1ffc7rcp1,
Human: Fall Flat,https://stadia.google.com/store/details/16d98de80a3340ffa4129953ae4e3206rcp1/sku/6ec089b591ee47fab2fed726e466700ap,1280x720 (HD),60,SDR,16d98de80a3340ffa4129953ae4e3206rcp1,Pixel Count
HUMANKIND - Digital Deluxe Edition,https://stadia.google.com/store/details/3f40802097224fa1aaa0dcc4555828b7rcp1/sku/ca8344739a34441dac1f53938b55e178p,3840x2160 (4K),30,,3f40802097224fa1aaa0dcc4555828b7rcp1,Pixel Count
Hundred Days - Winemaking Simulator,https://stadia.google.com/store/details/0b14eb3560f94ed69375f6ca5b7491fercp1/sku/da04f57bb412431bb1152cac7bac248bp,3840x2160 (4K),30,SDR,0b14eb3560f94ed69375f6ca5b7491fercp1,Pixel Count | Performance/Quality toggle | 60FPS in 1080p mode
